date,forecast,low,high
12.03,111.0,102,120
13.03,105.0,97,113
14.03,107.0,98,116
17.03,102.0,94,110
18.03,103.0,95,111
19.03,105.0,97,113
20.03,100.0,92,108
21.03,104.0,96,112
24.03,99.0,91,107
25.03,103.0,95,111
26.03,100.0,92,108
27.03,97.0,89,105
28.03,93.0,86,100
31.03,94.0,86,102
01.04,94.0,86,102
02.04,94.0,86,102
03.04,94.0,86,102
04.04,96.0,88,104
07.04,99.0,91,107
08.04,98.0,90,106
09.04,97.0,89,105
10.04,100.0,92,108
11.04,101.0,93,109
14.04,104.0,96,112
Mai,84.0,77,91
Juni,75.0,69,84
Juli,73.0,67,79
August,75.0,69,81
September,86.0,75,93
Oktober,86.0,79,93
November,96.0,86,104
Dezember,97.0,89,105
Januar,112.0,97,121
Februar,114.0,105,123
März,125.0,114,135
April,144.0,125,156
Mai,166.0,144,179
Juni,175.0,161,189
Juli,193.0,175,208
August,185.0,170,200
September,169.0,155,185
Oktober,176.0,162,190
November,193.0,176,208
Dezember,204.0,188,220
Januar,235.0,204,254
Februar,238.0,219,257
März,274.0,238,296
