date,forecast,low,high
12.03,1190.0,1131,1250
13.03,1194.0,1134,1254
14.03,1134.0,1077,1191
17.03,1131.0,1074,1188
18.03,1188.0,1129,1247
19.03,1165.0,1107,1223
20.03,1223.0,1162,1284
21.03,1230.0,1169,1292
24.03,1269.0,1206,1332
25.03,1292.0,1227,1357
26.03,1294.0,1229,1359
27.03,1359.0,1291,1427
28.03,1366.0,1298,1434
31.03,1303.0,1238,1368
01.04,1309.0,1244,1374
02.04,1305.0,1240,1370
03.04,1370.0,1302,1439
04.04,1439.0,1367,1511
07.04,1496.0,1421,1571
08.04,1489.0,1415,1563
09.04,1490.0,1416,1565
10.04,1506.0,1431,1581
11.04,1542.0,1465,1619
14.04,1465.0,1392,1538
Mai,1436.0,1364,1508
Juni,1364.0,1296,1436
Juli,1404.0,1334,1474
August,1442.0,1370,1514
September,1460.0,1387,1533
Oktober,1490.0,1416,1565
November,1493.0,1418,1568
Dezember,1568.0,1490,1646
Januar,1646.0,1564,1728
Februar,1728.0,1642,1814
März,1761.0,1673,1849
April,1794.0,1704,1884
Mai,1884.0,1790,1978
Juni,1908.0,1813,2003
Juli,1957.0,1859,2055
August,2040.0,1938,2142
September,2093.0,1988,2198
Oktober,2070.0,1967,2174
November,2147.0,2040,2254
Dezember,2254.0,2141,2367
Januar,2192.0,2082,2302
Februar,2106.0,2001,2211
März,2211.0,2100,2322
